SoCCCD,LoaiHuyHieu,NgayDuDieuKien,DotTraoTang,TrangThai,SoQuyetDinh,NgayTrao,GhiChu
054528675154,Huy hiệu 30 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300001,2026-03-02,Dữ liệu giả lập tự động
075631205038,Huy hiệu 30 năm tuổi Đảng,2024-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300002,2026-03-02,Dữ liệu giả lập tự động
093403568207,Huy hiệu 45 năm tuổi Đảng,2022-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,450001,2026-03-02,Dữ liệu giả lập tự động
017564357010,Huy hiệu 30 năm tuổi Đảng,2026-08-19,Quốc khánh,Đã trao,300003,2026-09-02,Dữ liệu giả lập tự động
016955330727,Huy hiệu 40 năm tuổi Đảng,2021-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,400001,2026-03-02,Dữ liệu giả lập tự động
072024580438,Huy hiệu 40 năm tuổi Đảng,2021-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,400002,2026-03-02,Dữ liệu giả lập tự động
043471143380,Huy hiệu 30 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300004,2026-03-02,Dữ liệu giả lập tự động
065433279810,Huy hiệu 55 năm tuổi Đảng,2023-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,D000001,2026-03-02,Dữ liệu giả lập tự động
095780018159,Huy hiệu 40 năm tuổi Đảng,2023-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,400003,2026-03-02,Dữ liệu giả lập tự động
085154309202,Huy hiệu 30 năm tuổi Đảng,2021-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300005,2026-03-02,Dữ liệu giả lập tự động
069440780359,Huy hiệu 45 năm tuổi Đảng,2022-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,450002,2026-03-02,Dữ liệu giả lập tự động
040182825122,Huy hiệu 30 năm tuổi Đảng,2018-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300006,2026-03-02,Dữ liệu giả lập tự động
041444555346,Huy hiệu 30 năm tuổi Đảng,2018-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300007,2026-03-02,Dữ liệu giả lập tự động
020303959844,Huy hiệu 30 năm tuổi Đảng,2018-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300008,2026-03-02,Dữ liệu giả lập tự động
054170584239,Huy hiệu 30 năm tuổi Đảng,2020-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300009,2026-03-02,Dữ liệu giả lập tự động
037751863964,Huy hiệu 30 năm tuổi Đảng,2022-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300010,2026-03-02,Dữ liệu giả lập tự động
068317781065,Huy hiệu 50 năm tuổi Đảng,2022-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000001,2026-03-02,Dữ liệu giả lập tự động
070663004558,Huy hiệu 40 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,400004,2026-03-02,Dữ liệu giả lập tự động
055837907119,Huy hiệu 30 năm tuổi Đảng,2025-03-26,Sinh nhật Bác Hồ,Đã trao,300011,2026-05-19,Dữ liệu giả lập tự động
082175521852,Huy hiệu 30 năm tuổi Đảng,2025-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300012,2026-03-02,Dữ liệu giả lập tự động
053083783037,Huy hiệu 45 năm tuổi Đảng,2025-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,450003,2026-03-02,Dữ liệu giả lập tự động
004181107256,Huy hiệu 30 năm tuổi Đảng,2021-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300013,2026-03-02,Dữ liệu giả lập tự động
065488698192,Huy hiệu 30 năm tuổi Đảng,2018-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300014,2026-03-02,Dữ liệu giả lập tự động
075068694070,Huy hiệu 30 năm tuổi Đảng,2019-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,300015,2026-03-02,Dữ liệu giả lập tự động
006228833431,Huy hiệu 30 năm tuổi Đảng,2025-08-19,Quốc khánh,Đã trao,300016,2026-09-02,Dữ liệu giả lập tự động
011719858893,Huy hiệu 45 năm tuổi Đảng,2023-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,450004,2026-03-02,Dữ liệu giả lập tự động
053850452840,Huy hiệu 45 năm tuổi Đảng,2024-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,450005,2026-03-02,Dữ liệu giả lập tự động
022143078934,Huy hiệu 40 năm tuổi Đảng,2024-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,400005,2026-03-02,Dữ liệu giả lập tự động
055086834975,Huy hiệu 40 năm tuổi Đảng,2024-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,400006,2026-03-02,Dữ liệu giả lập tự động
022421104346,Huy hiệu 30 năm tuổi Đảng,2021-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,300017,2026-03-02,Dữ liệu giả lập tự động
095314433874,Huy hiệu 50 năm tuổi Đảng,2024-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000002,2026-03-02,Dữ liệu giả lập tự động
085008661453,Huy hiệu 45 năm tuổi Đảng,2025-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,450006,2026-03-02,Dữ liệu giả lập tự động
050714449949,Huy hiệu 50 năm tuổi Đảng,2022-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,000003,2026-03-02,Dữ liệu giả lập tự động
023944344985,Huy hiệu 30 năm tuổi Đảng,2022-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,300018,2026-03-02,Dữ liệu giả lập tự động
015670081758,Huy hiệu 45 năm tuổi Đảng,2025-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,450007,2026-03-02,Dữ liệu giả lập tự động
011642471968,Huy hiệu 45 năm tuổi Đảng,2021-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,450008,2026-03-02,Dữ liệu giả lập tự động
045071554951,Huy hiệu 40 năm tuổi Đảng,2022-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,400007,2026-03-02,Dữ liệu giả lập tự động
080580067332,Huy hiệu 55 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,D000002,2026-03-02,Dữ liệu giả lập tự động
090103421021,Huy hiệu 50 năm tuổi Đảng,2022-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000004,2026-03-02,Dữ liệu giả lập tự động
091270106397,Huy hiệu 45 năm tuổi Đảng,2025-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,450009,2026-03-02,Dữ liệu giả lập tự động
030088155309,Huy hiệu 55 năm tuổi Đảng,2023-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,D000003,2026-03-02,Dữ liệu giả lập tự động
044742984858,Huy hiệu 30 năm tuổi Đảng,2021-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,300019,2026-03-02,Dữ liệu giả lập tự động
000359441408,Huy hiệu 50 năm tuổi Đảng,2023-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,000005,2026-03-02,Dữ liệu giả lập tự động
028115223269,Huy hiệu 55 năm tuổi Đảng,2025-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,D000004,2026-03-02,Dữ liệu giả lập tự động
012383413372,Huy hiệu 50 năm tuổi Đảng,2025-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000006,2026-03-02,Dữ liệu giả lập tự động
055065670332,Huy hiệu 40 năm tuổi Đảng,2023-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,400008,2026-03-02,Dữ liệu giả lập tự động
060575553592,Huy hiệu 50 năm tuổi Đảng,2022-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,000007,2026-03-02,Dữ liệu giả lập tự động
082901633262,Huy hiệu 30 năm tuổi Đảng,2026-08-19,Quốc khánh,Đã trao,300020,2026-09-02,Dữ liệu giả lập tự động
097148817294,Huy hiệu 45 năm tuổi Đảng,2023-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,450010,2026-03-02,Dữ liệu giả lập tự động
042555663149,Huy hiệu 50 năm tuổi Đảng,2022-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,000008,2026-03-02,Dữ liệu giả lập tự động
067936826683,Huy hiệu 30 năm tuổi Đảng,2018-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300021,2026-03-02,Dữ liệu giả lập tự động
077842338089,Huy hiệu 45 năm tuổi Đảng,2022-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,450011,2026-03-02,Dữ liệu giả lập tự động
092533320647,Huy hiệu 30 năm tuổi Đảng,2019-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300022,2026-03-02,Dữ liệu giả lập tự động
024629555812,Huy hiệu 50 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,000009,2026-03-02,Dữ liệu giả lập tự động
010329675628,Huy hiệu 30 năm tuổi Đảng,2017-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300023,2026-03-02,Dữ liệu giả lập tự động
097325315812,Huy hiệu 30 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300024,2026-03-02,Dữ liệu giả lập tự động
027888048031,Huy hiệu 45 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,450012,2026-03-02,Dữ liệu giả lập tự động
055060956049,Huy hiệu 50 năm tuổi Đảng,2024-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,000010,2026-03-02,Dữ liệu giả lập tự động
050214958622,Huy hiệu 30 năm tuổi Đảng,2017-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300025,2026-03-02,Dữ liệu giả lập tự động
019313982999,Huy hiệu 60 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,00001,2026-03-02,Dữ liệu giả lập tự động
083136878242,Huy hiệu 30 năm tuổi Đảng,2023-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,300026,2026-03-02,Dữ liệu giả lập tự động
066226402643,Huy hiệu 30 năm tuổi Đảng,2024-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300027,2026-03-02,Dữ liệu giả lập tự động
001614693557,Huy hiệu 60 năm tuổi Đảng,2024-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,00002,2026-03-02,Dữ liệu giả lập tự động
031442864390,Huy hiệu 50 năm tuổi Đảng,2021-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000011,2026-03-02,Dữ liệu giả lập tự động
090570319293,Huy hiệu 55 năm tuổi Đảng,2023-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,D000005,2026-03-02,Dữ liệu giả lập tự động
077538696382,Huy hiệu 50 năm tuổi Đảng,2024-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,000012,2026-03-02,Dữ liệu giả lập tự động
040283553471,Huy hiệu 30 năm tuổi Đảng,2022-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300028,2026-03-02,Dữ liệu giả lập tự động
022230599405,Huy hiệu 30 năm tuổi Đảng,2020-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300029,2026-03-02,Dữ liệu giả lập tự động
040121533164,Huy hiệu 80 năm tuổi Đảng,2024-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,001,2026-03-02,Dữ liệu giả lập tự động
089530063549,Huy hiệu 55 năm tuổi Đảng,2023-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,D000006,2026-03-02,Dữ liệu giả lập tự động
081272864282,Huy hiệu 60 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,00003,2026-03-02,Dữ liệu giả lập tự động
097882020882,Huy hiệu 30 năm tuổi Đảng,2026-05-19,Sinh nhật Bác Hồ,Đã trao,300030,2026-05-19,Dữ liệu giả lập tự động
022402329996,Huy hiệu 30 năm tuổi Đảng,2021-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300031,2026-03-02,Dữ liệu giả lập tự động
070656392561,Huy hiệu 30 năm tuổi Đảng,2025-05-19,Sinh nhật Bác Hồ,Đã trao,300032,2026-05-19,Dữ liệu giả lập tự động
064265128751,Huy hiệu 55 năm tuổi Đảng,2025-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,D000007,2026-03-02,Dữ liệu giả lập tự động
009869521364,Huy hiệu 30 năm tuổi Đảng,2026-08-19,Quốc khánh,Đã trao,300033,2026-09-02,Dữ liệu giả lập tự động
024402605598,Huy hiệu 50 năm tuổi Đảng,2023-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,000013,2026-03-02,Dữ liệu giả lập tự động
068742060989,Huy hiệu 50 năm tuổi Đảng,2023-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000014,2026-03-02,Dữ liệu giả lập tự động
005883341580,Huy hiệu 30 năm tuổi Đảng,2017-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300034,2026-03-02,Dữ liệu giả lập tự động
014302197568,Huy hiệu 40 năm tuổi Đảng,2023-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,400009,2026-03-02,Dữ liệu giả lập tự động
017287923840,Huy hiệu 30 năm tuổi Đảng,2026-08-19,Quốc khánh,Đã trao,300035,2026-09-02,Dữ liệu giả lập tự động
058154179628,Huy hiệu 45 năm tuổi Đảng,2023-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,450013,2026-03-02,Dữ liệu giả lập tự động
067874149753,Huy hiệu 45 năm tuổi Đảng,2021-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,450014,2026-03-02,Dữ liệu giả lập tự động
042263872480,Huy hiệu 45 năm tuổi Đảng,2022-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,450015,2026-03-02,Dữ liệu giả lập tự động
023121106576,Huy hiệu 30 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300036,2026-03-02,Dữ liệu giả lập tự động
046043479296,Huy hiệu 45 năm tuổi Đảng,2024-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,450016,2026-03-02,Dữ liệu giả lập tự động
033765858358,Huy hiệu 30 năm tuổi Đảng,2023-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300037,2026-03-02,Dữ liệu giả lập tự động
055841512516,Huy hiệu 30 năm tuổi Đảng,2017-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300038,2026-03-02,Dữ liệu giả lập tự động
076278217644,Huy hiệu 50 năm tuổi Đảng,2023-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000015,2026-03-02,Dữ liệu giả lập tự động
002689309875,Huy hiệu 30 năm tuổi Đảng,2022-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300039,2026-03-02,Dữ liệu giả lập tự động
027809385230,Huy hiệu 30 năm tuổi Đảng,2026-08-19,Quốc khánh,Đã trao,300040,2026-09-02,Dữ liệu giả lập tự động
039112809644,Huy hiệu 70 năm tuổi Đảng,2022-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,0001,2026-03-02,Dữ liệu giả lập tự động
082503131706,Huy hiệu 30 năm tuổi Đảng,2026-05-19,Sinh nhật Bác Hồ,Đã trao,300041,2026-05-19,Dữ liệu giả lập tự động
016507439687,Huy hiệu 55 năm tuổi Đảng,2025-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,D000008,2026-03-02,Dữ liệu giả lập tự động
039721638042,Huy hiệu 55 năm tuổi Đảng,2022-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,D000009,2026-03-02,Dữ liệu giả lập tự động
069464936299,Huy hiệu 75 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,B0001,2026-03-02,Dữ liệu giả lập tự động
