SoCCCD,HoTen,GioiTinh,NgaySinh,NgayVaoDang,DienDangVien,NgayChinhThuc,TrangThaiSinhHoat,DiaChi,QueQuan,NoiThuongTru,DanToc,NgheNghiep,GDPT,LyLuanChinhTri,SoDienThoai,TenChiBo
001760591057,Võ Mai Thảo,Nữ,1998-05-24,2017-09-02,Chính thức,2018-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0256987443,Chi bộ khu dân cư 11
054528675154,Vũ Thanh Hoa,Nữ,1976-08-12,1995-03-26,Chính thức,1996-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0086411891,Chi bộ khu dân cư 33
010119458446,Vũ Phương Anh,Nữ,1982-03-29,2000-03-26,Chính thức,2001-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0791710704,Chi bộ khu dân cư 33
038100345627,Đỗ Kim Nhung,Nữ,2005-02-14,2023-09-02,Chính thức,2024-09-02,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0490663315,Chi bộ khu dân cư 33
075631205038,Ngô Diệu Hạnh,Nữ,1976-03-07,1994-08-19,Chính thức,1995-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0257443848,Chi bộ khu dân cư 40
094182517894,Bùi Thanh Bình,Nam,1995-04-14,2014-03-26,Chính thức,2015-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0341069580,Chi bộ khu dân cư 25
073427063354,Hồ Anh Hiếu,Nam,1988-03-10,2006-05-19,Chính thức,2007-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0844099501,Chi bộ khu dân cư 36
030802595290,Ngô Mỹ Duyên,Nữ,1997-02-27,2015-03-26,Chính thức,2016-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0424733594,Chi bộ khu dân cư 31
093403568207,Võ Đức Bình,Nam,1958-08-20,1977-09-02,Chính thức,1978-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0504804840,Chi bộ khu dân cư 01
053905255367,Bùi Anh Phong,Nam,1986-07-16,2005-09-02,Chính thức,2006-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0442035365,Chi bộ Trạm Y tế phường
016893443507,Ngô Văn Nam,Nam,1981-04-06,2000-03-26,Chính thức,2001-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0970919834,Chi bộ khu dân cư 10
078288640531,Hoàng Thanh Phong,Nam,2006-03-03,2024-08-19,Chính thức,2025-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0521119130,Chi bộ khu dân cư 19
017564357010,Phạm Thanh Bình,Nam,1978-03-22,1996-08-19,Chính thức,1997-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0546406953,Chi bộ khu dân cư 33
044532711583,Đặng Văn Sơn,Nam,1978-03-14,1996-08-19,Chính thức,1997-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0902009515,Chi bộ khu dân cư 34
016955330727,Đỗ Mỹ Nhung,Nữ,1963-01-08,1981-03-26,Chính thức,1982-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0253613080,Chi bộ khu dân cư 08
044965697912,Hoàng Anh Cường,Nam,2007-02-22,2025-02-03,Chính thức,2026-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0262397133,Chi bộ khu dân cư 17
081100957542,Lê Văn Thành,Nam,2006-06-27,2025-09-02,Chờ xét,,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0880943935,Chi bộ khu dân cư 09
025413382670,Hồ Minh Dũng,Nam,1981-06-11,2000-03-26,Chính thức,2001-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0876735385,Chi bộ khu dân cư 19
054942747694,Ngô Thu Phương,Nữ,1990-09-28,2009-02-03,Chính thức,2010-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0220499692,Chi bộ khu dân cư 23
072024580438,Nguyễn Anh Nam,Nam,1962-08-22,1981-08-19,Chính thức,1982-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0489427585,Chi bộ khu dân cư 31
005733161666,Huỳnh Bảo Duyên,Nữ,2006-03-13,2024-05-19,Chính thức,2025-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0489252389,Chi bộ khu dân cư 07
043471143380,Trần Thanh Hạnh,Nữ,1976-12-09,1995-03-26,Chính thức,1996-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0988394696,Chi bộ khu dân cư 12
065433279810,Phan Đức An,Nam,1949-12-16,1968-09-02,Chính thức,1969-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0794112019,Chi bộ khu dân cư 17
